"Country or Area","Year","Religion","Value","Value Footnotes"
"Albania","2011","Total","2800138",""
"Albania","2011","Atheist","69995",""
"Albania","2011","Catholic","280921",""
"Albania","2011","Evangelical","3797",""
"Albania","2011","Muslim","1587608",""
"Albania","2011","Orthodox","188992",""
"Albania","2011","Other","602",""
"Albania","2011","Other Christians","1919",""
"Albania","2011","Refused to answer","386024",""
"Albania","2011","Bektashism","58628",""
"Albania","2011","Believers without denomination","153630",""
"Albania","2011","Not Stated","68022",""
"Anguilla","2001","Total","11430",""
"Anguilla","2001","Anglican","3313",""
"Anguilla","2001","Baptist","833",""
"Anguilla","2001","Brethren","39",""
"Anguilla","2001","Church of God","869",""
"Anguilla","2001","Evangelical","60",""
"Anguilla","2001","Hindu","45",""
"Anguilla","2001","Jehovah Witness","81",""
"Anguilla","2001","Jewish","16",""
"Anguilla","2001","Methodist","2733",""
"Anguilla","2001","Muslim","36",""
"Anguilla","2001","Pentecostal","878",""
"Anguilla","2001","Presbyterian","25",""
"Anguilla","2001","Rastafarian","82",""
"Anguilla","2001","Roman Catholic","654",""
"Anguilla","2001","Seventh Day Adventist","871",""
"Anguilla","2001","Other Religions","400",""
"Anguilla","2001","No Religion","456",""
"Anguilla","2001","Not Specified","39",""
"Anguilla","2001","Total","5628",""
"Anguilla","2001","Anglican","1647",""
"Anguilla","2001","Baptist","384",""
"Anguilla","2001","Brethren","18",""
"Anguilla","2001","Church of God","359",""
"Anguilla","2001","Evangelical","32",""
"Anguilla","2001","Hindu","21",""
"Anguilla","2001","Jehovah Witness","37",""
"Anguilla","2001","Jewish","9",""
"Anguilla","2001","Methodist","1365",""
"Anguilla","2001","Muslim","20",""
"Anguilla","2001","Pentecostal","398",""
"Anguilla","2001","Presbyterian","11",""
"Anguilla","2001","Rastafarian","74",""
"Anguilla","2001","Roman Catholic","311",""
"Anguilla","2001","Seventh Day Adventist","424",""
"Anguilla","2001","Other Religions","195",""
"Anguilla","2001","No Religion","296",""
"Anguilla","2001","Not Specified","27",""
"Anguilla","2001","Total","5802",""
"Anguilla","2001","Anglican","1666",""
"Anguilla","2001","Baptist","449",""
"Anguilla","2001","Brethren","21",""
"Anguilla","2001","Church of God","510",""
"Anguilla","2001","Evangelical","28",""
"Anguilla","2001","Hindu","24",""
"Anguilla","2001","Jehovah Witness","44",""
"Anguilla","2001","Jewish","7",""
"Anguilla","2001","Methodist","1368",""
"Anguilla","2001","Muslim","16",""
"Anguilla","2001","Pentecostal","480",""
"Anguilla","2001","Presbyterian","14",""
"Anguilla","2001","Rastafarian","8",""
"Anguilla","2001","Roman Catholic","343",""
"Anguilla","2001","Seventh Day Adventist","447",""
"Anguilla","2001","Other Religions","205",""
"Anguilla","2001","No Religion","160",""
"Anguilla","2001","Not Specified","12",""
"Antigua and Barbuda","2001","Total","76886",""
"Antigua and Barbuda","2001","Anglican","19767",""
"Antigua and Barbuda","2001","Baha'i","51",""
"Antigua and Barbuda","2001","Baptist","3777",""
"Antigua and Barbuda","2001","Brethren","194",""
"Antigua and Barbuda","2001","Church of God","3443",""
"Antigua and Barbuda","2001","Evangelical","1982",""
"Antigua and Barbuda","2001","Hindu","189",""
"Antigua and Barbuda","2001","Islam ","228",""
"Antigua and Barbuda","2001","Jehovah Witness","1257",""
"Antigua and Barbuda","2001","Methodist","6091",""
"Antigua and Barbuda","2001","Moravian","8057",""
"Antigua and Barbuda","2001","Pentecostal","8118",""
"Antigua and Barbuda","2001","Presbyterian","205",""
"Antigua and Barbuda","2001","Rastafarian","973",""
"Antigua and Barbuda","2001","Roman Catholic","8021",""
"Antigua and Barbuda","2001","Salvation Army","444",""
"Antigua and Barbuda","2001","Seventh Day Adventist","9436",""
"Antigua and Barbuda","2001","Spiritualist","66",""
"Antigua and Barbuda","2001","Other","116",""
"Antigua and Barbuda","2001","No Religion","3145",""
"Antigua and Barbuda","2001","Not Declared","1329",""
"Antigua and Barbuda","2001","Total","36109",""
"Antigua and Barbuda","2001","Anglican","9482",""
"Antigua and Barbuda","2001","Baha'i","20",""
"Antigua and Barbuda","2001","Baptist","1635",""
"Antigua and Barbuda","2001","Brethren","100",""
"Antigua and Barbuda","2001","Church of God","1435",""
"Antigua and Barbuda","2001","Evangelical","849",""
"Antigua and Barbuda","2001","Hindu","100",""
"Antigua and Barbuda","2001","Islam ","136",""
"Antigua and Barbuda","2001","Jehovah Witness","548",""
"Antigua and Barbuda","2001","Methodist","2822",""
"Antigua and Barbuda","2001","Moravian","3792",""
"Antigua and Barbuda","2001","Pentecostal","3455",""
"Antigua and Barbuda","2001","Presbyterian","102",""
"Antigua and Barbuda","2001","Rastafarian","764",""
"Antigua and Barbuda","2001","Roman Catholic","3647",""
"Antigua and Barbuda","2001","Salvation Army","196",""
"Antigua and Barbuda","2001","Seventh Day Adventist","4263",""
"Antigua and Barbuda","2001","Spiritualist","28",""
"Antigua and Barbuda","2001","Other","57",""
"Antigua and Barbuda","2001","No Religion","1954",""
"Antigua and Barbuda","2001","Not Declared","724",""
"Antigua and Barbuda","2001","Total","40777",""
"Antigua and Barbuda","2001","Anglican","10285",""
"Antigua and Barbuda","2001","Baha'i","30",""
"Antigua and Barbuda","2001","Baptist","2142",""
"Antigua and Barbuda","2001","Brethren","94",""
"Antigua and Barbuda","2001","Church of God","2008",""
"Antigua and Barbuda","2001","Evangelical","1133",""
"Antigua and Barbuda","2001","Hindu","89",""
"Antigua and Barbuda","2001","Islam ","91",""
"Antigua and Barbuda","2001","Jehovah Witness","709",""
"Antigua and Barbuda","2001","Methodist","3269",""
"Antigua and Barbuda","2001","Moravian","4264",""
"Antigua and Barbuda","2001","Pentecostal","4663",""
"Antigua and Barbuda","2001","Presbyterian","102",""
"Antigua and Barbuda","2001","Rastafarian","208",""
"Antigua and Barbuda","2001","Roman Catholic","4374",""
"Antigua and Barbuda","2001","Salvation Army","248",""
"Antigua and Barbuda","2001","Seventh Day Adventist","5173",""
"Antigua and Barbuda","2001","Spiritualist","39",""
"Antigua and Barbuda","2001","Other","59",""
"Antigua and Barbuda","2001","No Religion","1191",""
"Antigua and Barbuda","2001","Not Declared","606",""
"Armenia","2011","Armenian Apostolic","2796519",""
"Armenia","2011","Armenian Orthodox","7532",""
"Armenia","2011","Catholic","13843",""
"Armenia","2011","Evangelical","29280",""
"Armenia","2011","Pagan","5434",""
"Armenia","2011","Other","7888",""
"Armenia","2011","No Religion","34373",""
"Armenia","2011","Not Stated","87214",""
"Armenia","2011","Yeshiva's witness","8695",""
"Armenia","2011","Molokai","2872",""
"Armenia","2011","Shar-fadinian","25204",""
"Armenia","2011","Armenian Apostolic","1342448",""
"Armenia","2011","Armenian Orthodox","2638",""
"Armenia","2011","Catholic","6686",""
"Armenia","2011","Evangelical","12297",""
"Armenia","2011","Pagan","2817",""
"Armenia","2011","Other","3776",""
"Armenia","2011","No Religion","17128",""
"Armenia","2011","Not Stated","43433",""
"Armenia","2011","Yeshiva's witness","2784",""
"Armenia","2011","Molokai","1450",""
"Armenia","2011","Shar-fadinian","12595",""
"Armenia","2011","Armenian Apostolic","1454071",""
"Armenia","2011","Armenian Orthodox","4894",""
"Armenia","2011","Catholic","7157",""
"Armenia","2011","Evangelical","16983",""
"Armenia","2011","Pagan","2617",""
"Armenia","2011","Other","4112",""
"Armenia","2011","No Religion","17245",""
"Armenia","2011","Not Stated","43781",""
"Armenia","2011","Yeshiva's witness","5911",""
"Armenia","2011","Molokai","1422",""
"Armenia","2011","Shar-fadinian","12609",""
"Armenia","2011","Armenian Apostolic","1790794",""
"Armenia","2011","Armenian Orthodox","5570",""
"Armenia","2011","Catholic","3058",""
"Armenia","2011","Evangelical","17758",""
"Armenia","2011","Pagan","948",""
"Armenia","2011","Other","4103",""
"Armenia","2011","No Religion","22159",""
"Armenia","2011","Not Stated","56892",""
"Armenia","2011","Yeshiva's witness","6231",""
"Armenia","2011","Molokai","849",""
"Armenia","2011","Shar-fadinian","2925",""
"Armenia","2011","Armenian Apostolic","839886",""
"Armenia","2011","Armenian Orthodox","1829",""
"Armenia","2011","Catholic","1302",""
"Armenia","2011","Evangelical","7283",""
"Armenia","2011","Pagan","524",""
"Armenia","2011","Other","1939",""
"Armenia","2011","No Religion","10910",""
"Armenia","2011","Not Stated","27916",""
"Armenia","2011","Yeshiva's witness","1981",""
"Armenia","2011","Molokai","425",""
"Armenia","2011","Shar-fadinian","1377",""
"Armenia","2011","Armenian Apostolic","950908",""
"Armenia","2011","Armenian Orthodox","3741",""
"Armenia","2011","Catholic","1756",""
"Armenia","2011","Evangelical","10475",""
"Armenia","2011","Pagan","424",""
"Armenia","2011","Other","2164",""
"Armenia","2011","No Religion","11249",""
"Armenia","2011","Not Stated","28976",""
"Armenia","2011","Yeshiva's witness","4250",""
"Armenia","2011","Molokai","424",""
"Armenia","2011","Shar-fadinian","1548",""
"Armenia","2011","Armenian Apostolic","1005725",""
"Armenia","2011","Armenian Orthodox","1962",""
"Armenia","2011","Catholic","10785",""
"Armenia","2011","Evangelical","11522",""
"Armenia","2011","Pagan","4486",""
"Armenia","2011","Other","3785",""
"Armenia","2011","No Religion","12214",""
"Armenia","2011","Not Stated","30322",""
"Armenia","2011","Yeshiva's witness","2464",""
"Armenia","2011","Molokai","2023",""
"Armenia","2011","Shar-fadinian","22279",""
"Armenia","2011","Armenian Apostolic","502562",""
"Armenia","2011","Armenian Orthodox","809",""
"Armenia","2011","Catholic","5384",""
"Armenia","2011","Evangelical","5014",""
"Armenia","2011","Pagan","2293",""
"Armenia","2011","Other","1837",""
"Armenia","2011","No Religion","6218",""
"Armenia","2011","Not Stated","15517",""
"Armenia","2011","Yeshiva's witness","803",""
"Armenia","2011","Molokai","1025",""
"Armenia","2011","Shar-fadinian","11218",""
"Armenia","2011","Armenian Apostolic","503163",""
"Armenia","2011","Armenian Orthodox","1153",""
"Armenia","2011","Catholic","5401",""
"Armenia","2011","Evangelical","6508",""
"Armenia","2011","Pagan","2193",""
"Armenia","2011","Other","1948",""
"Armenia","2011","No Religion","5996",""
"Armenia","2011","Not Stated","14805",""
"Armenia","2011","Yeshiva's witness","1661",""
"Armenia","2011","Molokai","998",""
"Armenia","2011","Shar-fadinian","11061",""
"Aruba","2010","Total","101484","1"
"Aruba","2010","Adventist","880","1"
"Aruba","2010","Anglican","450","1"
"Aruba","2010","Jehovah Witness","1703","1"
"Aruba","2010","Jewish","354","1"
"Aruba","2010","Methodist","932","1"
"Aruba","2010","Pagan","5625","1"
"Aruba","2010","Protestant","2698","1"
"Aruba","2010","Roman Catholic","76464","1"
"Aruba","2010","Not Stated","515","1"
"Aruba","2010","Other Religions and Persuasions","11862","1"
"Aruba","2010","Total","48241","1"
"Aruba","2010","Adventist","349","1"
"Aruba","2010","Anglican","183","1"
"Aruba","2010","Jehovah Witness","683","1"
"Aruba","2010","Jewish","202","1"
"Aruba","2010","Methodist","420","1"
"Aruba","2010","Pagan","3104","1"
"Aruba","2010","Protestant","1230","1"
"Aruba","2010","Roman Catholic","36506","1"
"Aruba","2010","Not Stated","283","1"
"Aruba","2010","Other Religions and Persuasions","5282","1"
"Aruba","2010","Total","53243","1"
"Aruba","2010","Adventist","531","1"
"Aruba","2010","Anglican","267","1"
"Aruba","2010","Jehovah Witness","1020","1"
"Aruba","2010","Jewish","152","1"
"Aruba","2010","Methodist","512","1"
"Aruba","2010","Pagan","2521","1"
"Aruba","2010","Protestant","1469","1"
"Aruba","2010","Roman Catholic","39959","1"
"Aruba","2010","Not Stated","233","1"
"Aruba","2010","Other Religions and Persuasions","6580","1"
"Aruba","2000","Total","90506","1"
"Aruba","2000","Adventist","691","1"
"Aruba","2000","Anglican","397","1"
"Aruba","2000","Evangelical","3679","1"
"Aruba","2000","Jehovah Witness","1350","1"
"Aruba","2000","Jewish","198","1"
"Aruba","2000","Methodist","1045","1"
"Aruba","2000","Pagan","3546","1"
"Aruba","2000","Protestant","2282","1"
"Aruba","2000","Roman Catholic","73158","1"
"Aruba","2000","Not Stated","610","1"
"Aruba","2000","Other Religions and Persuasions","3550","1"
"Aruba","2000","Total","43436","1"
"Aruba","2000","Adventist","266",""
"Aruba","2000","Anglican","150",""
"Aruba","2000","Evangelical","1623",""
"Aruba","2000","Jehovah Witness","581",""
"Aruba","2000","Jewish","100",""
"Aruba","2000","Methodist","463",""
"Aruba","2000","Pagan","1946",""
"Aruba","2000","Protestant","1116",""
"Aruba","2000","Roman Catholic","35221",""
"Aruba","2000","Not Stated","305",""
"Aruba","2000","Other Religions and Persuasions","1666",""
"Aruba","2000","Total","47069","1"
"Aruba","2000","Adventist","425",""
"Aruba","2000","Anglican","247",""
"Aruba","2000","Evangelical","2056",""
"Aruba","2000","Jehovah Witness","770",""
"Aruba","2000","Jewish","99",""
"Aruba","2000","Methodist","582",""
"Aruba","2000","Pagan","1600",""
"Aruba","2000","Protestant","1166",""
"Aruba","2000","Roman Catholic","37937",""
"Aruba","2000","Not Stated","306",""
"Aruba","2000","Other Religions and Persuasions","1884",""
"Australia","2021","Anglican","2496273","2"
"Australia","2021","Baha'i","14937","2"
"Australia","2021","Baptist","347334","2"
"Australia","2021","Brethren","18258","2"
"Australia","2021","Buddhist","615823","2"
"Australia","2021","Catholic","5075907","2"
"Australia","2021","Christian","11148814","2"
"Australia","2021","Church of Christ","35928","2"
"Australia","2021","Congregational","3409","2"
"Australia","2021","Druze","4268","2"
"Australia","2021","Eastern Orthodox","535470","2"
"Australia","2021","Hindu","684002","2"
"Australia","2021","Islam ","813392","2"
"Australia","2021","Judaism","99956","2"
"Australia","2021","Latter Day Saints","57868","2"
"Australia","2021","Lutheran","145868","2"
"Australia","2021","Pentecostal","255838","2"
"Australia","2021","Presbyterian","402138","2"
"Australia","2021","Salvation Army","35356","2"
"Australia","2021","Seventh Day Adventist","63662","2"
"Australia","2021","Sikh","210400","2"
"Australia","2021","Spiritualist","8879","2"
"Australia","2021","United Church","673260","2"
"Australia","2021","Other","79884","2"
"Australia","2021","Other Christians","27679","2"
"Australia","2021","Other Protestant","112474","2"
"Australia","2021","No Religion","9767448","2"
"Australia","2021","Jehovah's Witnesses","84405","2"
"Australia","2021","Not Stated","1751052","2"
"Australia","2021","Christian nfd","688440","2"
"Australia","2021","Chinese Religions","6952","2"
"Australia","2021","Presbyterian and Reformed","414882","2"
"Australia","2021","Japanese Religions","1864","2"
"Australia","2021","Nature and earth based religions","33148","2"
"Australia","2021","Zoroastrianism","2986","2"
"Australia","2021","Religious belief, nfd and Inadequately described","97376","2"
"Australia","2021","Australian Aboriginal Traditional Religion","7887","2"
"Australia","2021","Secular Beliefs","73548","2"
"Australia","2021","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation, nfd","183","2"
"Australia","2021","Assyrian Apostolic","19141","2"
"Australia","2021","Oriental Orthodox","60774","2"
"Australia","2021","Anglican","1135624","2"
"Australia","2021","Baha'i","7072","2"
"Australia","2021","Baptist","163007","2"
"Australia","2021","Brethren","9057","2"
"Australia","2021","Buddhist","265305","2"
"Australia","2021","Catholic","2391276","2"
"Australia","2021","Christian","5175151","2"
"Australia","2021","Church of Christ","15805","2"
"Australia","2021","Congregational","1573","2"
"Australia","2021","Druze","2119","2"
"Australia","2021","Eastern Orthodox","260698","2"
"Australia","2021","Hindu","361241","2"
"Australia","2021","Islam ","424000","2"
"Australia","2021","Judaism","48239","2"
"Australia","2021","Latter Day Saints","27610","2"
"Australia","2021","Lutheran","65564","2"
"Australia","2021","Pentecostal","116857","2"
"Australia","2021","Presbyterian","188173","2"
"Australia","2021","Salvation Army","14878","2"
"Australia","2021","Seventh Day Adventist","28948","2"
"Australia","2021","Sikh","112615","2"
"Australia","2021","Spiritualist","2375","2"
"Australia","2021","United Church","289969","2"
"Australia","2021","Other","35160","2"
"Australia","2021","Other Christians","13000","2"
"Australia","2021","Other Protestant","52933","2"
"Australia","2021","No Religion","5064255","2"
"Australia","2021","Jehovah's Witnesses","36543","2"
"Australia","2021","Not Stated","919242","2"
"Australia","2021","Christian nfd","319509","2"
"Australia","2021","Chinese Religions","3614","2"
"Australia","2021","Presbyterian and Reformed","194460","2"
"Australia","2021","Japanese Religions","705","2"
"Australia","2021","Nature and earth based religions","11247","2"
"Australia","2021","Zoroastrianism","1604","2"
"Australia","2021","Religious belief, nfd and Inadequately described","65736","2"
"Australia","2021","Australian Aboriginal Traditional Religion","3981","2"
"Australia","2021","Secular Beliefs","41393","2"
"Australia","2021","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation, nfd","75","2"
"Australia","2021","Assyrian Apostolic","9253","2"
"Australia","2021","Oriental Orthodox","30161","2"
"Australia","2021","Anglican","1360653","2"
"Australia","2021","Baha'i","7859","2"
"Australia","2021","Baptist","184329","2"
"Australia","2021","Brethren","9203","2"
"Australia","2021","Buddhist","350514","2"
"Australia","2021","Catholic","2684627","2"
"Australia","2021","Christian","5973665","2"
"Australia","2021","Church of Christ","20124","2"
"Australia","2021","Congregational","1840","2"
"Australia","2021","Druze","2152","2"
"Australia","2021","Eastern Orthodox","274769","2"
"Australia","2021","Hindu","322758","2"
"Australia","2021","Islam ","389392","2"
"Australia","2021","Judaism","51713","2"
"Australia","2021","Latter Day Saints","30260","2"
"Australia","2021","Lutheran","80307","2"
"Australia","2021","Pentecostal","138980","2"
"Australia","2021","Presbyterian","213968","2"
"Australia","2021","Salvation Army","20480","2"
"Australia","2021","Seventh Day Adventist","34714","2"
"Australia","2021","Sikh","97782","2"
"Australia","2021","Spiritualist","6501","2"
"Australia","2021","United Church","383294","2"
"Australia","2021","Other","44720","2"
"Australia","2021","Other Christians","14683","2"
"Australia","2021","Other Protestant","59545","2"
"Australia","2021","No Religion","4703188","2"
"Australia","2021","Jehovah's Witnesses","47861","2"
"Australia","2021","Not Stated","831810","2"
"Australia","2021","Christian nfd","368926","2"
"Australia","2021","Chinese Religions","3338","2"
"Australia","2021","Presbyterian and Reformed","220424","2"
"Australia","2021","Japanese Religions","1159","2"
"Australia","2021","Nature and earth based religions","21895","2"
"Australia","2021","Zoroastrianism","1382","2"
"Australia","2021","Religious belief, nfd and Inadequately described","31641","2"
"Australia","2021","Australian Aboriginal Traditional Religion","3906","2"
"Australia","2021","Secular Beliefs","32147","2"
"Australia","2021","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation, nfd","111","2"
"Australia","2021","Assyrian Apostolic","9880","2"
"Australia","2021","Oriental Orthodox","30620","2"
"Australia","2021","Anglican","2144488","2"
"Australia","2021","Baha'i","14517","2"
"Australia","2021","Baptist","314755","2"
"Australia","2021","Brethren","16657","2"
"Australia","2021","Buddhist","598871","2"
"Australia","2021","Catholic","4632647","2"
"Australia","2021","Christian","9979201","2"
"Australia","2021","Church of Christ","31935","2"
"Australia","2021","Congregational","3205","2"
"Australia","2021","Druze","4223","2"
"Australia","2021","Eastern Orthodox","523998","2"
"Australia","2021","Hindu","679424","2"
"Australia","2021","Islam ","804722","2"
"Australia","2021","Judaism","98201","2"
"Australia","2021","Latter Day Saints","54473","2"
"Australia","2021","Lutheran","112142","2"
"Australia","2021","Pentecostal","235075","2"
"Australia","2021","Presbyterian","349305","2"
"Australia","2021","Salvation Army","31298","2"
"Australia","2021","Seventh Day Adventist","54927","2"
"Australia","2021","Sikh","207592","2"
"Australia","2021","Spiritualist","8091","2"
"Australia","2021","United Church","562447","2"
"Australia","2021","Other","73909","2"
"Australia","2021","Other Christians","23868","2"
"Australia","2021","Other Protestant","102910","2"
"Australia","2021","No Religion","8767948","2"
"Australia","2021","Jehovah's Witnesses","74535","2"
"Australia","2021","Not Stated","1475979","2"
"Australia","2021","Christian nfd","623061","2"
"Australia","2021","Chinese Religions","6498","2"
"Australia","2021","Presbyterian and Reformed","360698","2"
"Australia","2021","Japanese Religions","1751","2"
"Australia","2021","Nature and earth based religions","28415","2"
"Australia","2021","Zoroastrianism","2951","2"
"Australia","2021","Religious belief, nfd and Inadequately described","88274","2"
"Australia","2021","Australian Aboriginal Traditional Religion","4677","2"
"Australia","2021","Secular Beliefs","67368","2"
"Australia","2021","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation, nfd","165","2"
"Australia","2021","Assyrian Apostolic","19007","2"
"Australia","2021","Oriental Orthodox","60269","2"
"Australia","2021","Anglican","964719","2"
"Australia","2021","Baha'i","6898","2"
"Australia","2021","Baptist","147053","2"
"Australia","2021","Brethren","8252","2"
"Australia","2021","Buddhist","258215","2"
"Australia","2021","Catholic","2170133","2"
"Australia","2021","Christian","4600965","2"
"Australia","2021","Church of Christ","13929","2"
"Australia","2021","Congregational","1462","2"
"Australia","2021","Druze","2098","2"
"Australia","2021","Eastern Orthodox","254579","2"
"Australia","2021","Hindu","358689","2"
"Australia","2021","Islam ","419238","2"
"Australia","2021","Judaism","47344","2"
"Australia","2021","Latter Day Saints","25931","2"
"Australia","2021","Lutheran","49186","2"
"Australia","2021","Pentecostal","107031","2"
"Australia","2021","Presbyterian","161118","2"
"Australia","2021","Salvation Army","13034","2"
"Australia","2021","Seventh Day Adventist","24785","2"
"Australia","2021","Sikh","111100","2"
"Australia","2021","Spiritualist","2175","2"
"Australia","2021","United Church","237431","2"
"Australia","2021","Other","32543","2"
"Australia","2021","Other Christians","11109","2"
"Australia","2021","Other Protestant","48173","2"
"Australia","2021","No Religion","4528866","2"
"Australia","2021","Jehovah's Witnesses","32082","2"
"Australia","2021","Not Stated","763524","2"
"Australia","2021","Christian nfd","287719","2"
"Australia","2021","Chinese Religions","3379","2"
"Australia","2021","Presbyterian and Reformed","166733","2"
"Australia","2021","Japanese Religions","661","2"
"Australia","2021","Nature and earth based religions","9584","2"
"Australia","2021","Zoroastrianism","1581","2"
"Australia","2021","Religious belief, nfd and Inadequately described","59638","2"
"Australia","2021","Australian Aboriginal Traditional Religion","2344","2"
"Australia","2021","Secular Beliefs","37896","2"
"Australia","2021","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation, nfd","66","2"
"Australia","2021","Assyrian Apostolic","9194","2"
"Australia","2021","Oriental Orthodox","29888","2"
"Australia","2021","Anglican","1179775","2"
"Australia","2021","Baha'i","7612","2"
"Australia","2021","Baptist","167702","2"
"Australia","2021","Brethren","8401","2"
"Australia","2021","Buddhist","340661","2"
"Australia","2021","Catholic","2462513","2"
"Australia","2021","Christian","5378235","2"
"Australia","2021","Church of Christ","18011","2"
"Australia","2021","Congregational","1743","2"
"Australia","2021","Druze","2125","2"
"Australia","2021","Eastern Orthodox","269419","2"
"Australia","2021","Hindu","320735","2"
"Australia","2021","Islam ","385487","2"
"Australia","2021","Judaism","50858","2"
"Australia","2021","Latter Day Saints","28537","2"
"Australia","2021","Lutheran","62963","2"
"Australia","2021","Pentecostal","128039","2"
"Australia","2021","Presbyterian","188187","2"
"Australia","2021","Salvation Army","18266","2"
"Australia","2021","Seventh Day Adventist","30145","2"
"Australia","2021","Sikh","96489","2"
"Australia","2021","Spiritualist","5912","2"
"Australia","2021","United Church","325010","2"
"Australia","2021","Other","41368","2"
"Australia","2021","Other Christians","12762","2"
"Australia","2021","Other Protestant","54733","2"
"Australia","2021","No Religion","4239084","2"
"Australia","2021","Jehovah's Witnesses","42455","2"
"Australia","2021","Not Stated","712459","2"
"Australia","2021","Christian nfd","335344","2"
"Australia","2021","Chinese Religions","3116","2"
"Australia","2021","Presbyterian and Reformed","193968","2"
"Australia","2021","Japanese Religions","1089","2"
"Australia","2021","Nature and earth based religions","18827","2"
"Australia","2021","Zoroastrianism","1372","2"
"Australia","2021","Religious belief, nfd and Inadequately described","28627","2"
"Australia","2021","Australian Aboriginal Traditional Religion","2331","2"
"Australia","2021","Secular Beliefs","29468","2"
"Australia","2021","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation, nfd","101","2"
"Australia","2021","Assyrian Apostolic","9818","2"
"Australia","2021","Oriental Orthodox","30380","2"
"Australia","2021","Anglican","348412","2"
"Australia","2021","Baha'i","410","2"
"Australia","2021","Baptist","32154","2"
"Australia","2021","Brethren","1596","2"
"Australia","2021","Buddhist","16437","2"
"Australia","2021","Catholic","438250","2"
"Australia","2021","Christian","1156431","2"
"Australia","2021","Church of Christ","3960","2"
"Australia","2021","Congregational","204","2"
"Australia","2021","Druze","49","2"
"Australia","2021","Eastern Orthodox","11200","2"
"Australia","2021","Hindu","4314","2"
"Australia","2021","Islam ","8069","2"
"Australia","2021","Judaism","1682","2"
"Australia","2021","Latter Day Saints","3310","2"
"Australia","2021","Lutheran","33503","2"
"Australia","2021","Pentecostal","20412","2"
"Australia","2021","Presbyterian","52243","2"
"Australia","2021","Salvation Army","3947","2"
"Australia","2021","Seventh Day Adventist","8620","2"
"Australia","2021","Sikh","2756","2"
"Australia","2021","Spiritualist","755","2"
"Australia","2021","United Church","109830","2"
"Australia","2021","Other","5736","2"
"Australia","2021","Other Christians","3753","2"
"Australia","2021","Other Protestant","9410","2"
"Australia","2021","No Religion","980769","2"
"Australia","2021","Jehovah's Witnesses","9753","2"
"Australia","2021","Not Stated","256585","2"
"Australia","2021","Christian nfd","64144","2"
"Australia","2021","Chinese Religions","438","2"
"Australia","2021","Presbyterian and Reformed","53577","2"
"Australia","2021","Japanese Religions","110","2"
"Australia","2021","Nature and earth based religions","4585","2"
"Australia","2021","Zoroastrianism","37","2"
"Australia","2021","Religious belief, nfd and Inadequately described","8735","2"
"Australia","2021","Australian Aboriginal Traditional Religion","3193","2"
"Australia","2021","Secular Beliefs","5971","2"
"Australia","2021","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation, nfd","22","2"
"Australia","2021","Assyrian Apostolic","126","2"
"Australia","2021","Oriental Orthodox","486","2"
"Australia","2021","Anglican","169121","2"
"Australia","2021","Baha'i","171","2"
"Australia","2021","Baptist","15751","2"
"Australia","2021","Brethren","800","2"
"Australia","2021","Buddhist","6858","2"
"Australia","2021","Catholic","218525","2"
"Australia","2021","Christian","567403","2"
"Australia","2021","Church of Christ","1861","2"
"Australia","2021","Congregational","108","2"
"Australia","2021","Druze","23","2"
"Australia","2021","Eastern Orthodox","5968","2"
"Australia","2021","Hindu","2396","2"
"Australia","2021","Islam ","4426","2"
"Australia","2021","Judaism","856","2"
"Australia","2021","Latter Day Saints","1626","2"
"Australia","2021","Lutheran","16280","2"
"Australia","2021","Pentecostal","9655","2"
"Australia","2021","Presbyterian","26749","2"
"Australia","2021","Salvation Army","1791","2"
"Australia","2021","Seventh Day Adventist","4111","2"
"Australia","2021","Sikh","1491","2"
"Australia","2021","Spiritualist","187","2"
"Australia","2021","United Church","52050","2"
"Australia","2021","Other","2503","2"
"Australia","2021","Other Christians","1858","2"
"Australia","2021","Other Protestant","4681","2"
"Australia","2021","No Religion","525181","2"
"Australia","2021","Jehovah's Witnesses","4419","2"
"Australia","2021","Not Stated","144471","2"
"Australia","2021","Christian nfd","31177","2"
"Australia","2021","Chinese Religions","223","2"
"Australia","2021","Presbyterian and Reformed","27414","2"
"Australia","2021","Japanese Religions","42","2"
"Australia","2021","Nature and earth based religions","1613","2"
"Australia","2021","Zoroastrianism","26","2"
"Australia","2021","Religious belief, nfd and Inadequately described","5863","2"
"Australia","2021","Australian Aboriginal Traditional Religion","1626","2"
"Australia","2021","Secular Beliefs","3370","2"
"Australia","2021","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation, nfd","8","2"
"Australia","2021","Assyrian Apostolic","59","2"
"Australia","2021","Oriental Orthodox","260","2"
"Australia","2021","Anglican","179297","2"
"Australia","2021","Baha'i","230","2"
"Australia","2021","Baptist","16408","2"
"Australia","2021","Brethren","800","2"
"Australia","2021","Buddhist","9580","2"
"Australia","2021","Catholic","219730","2"
"Australia","2021","Christian","589036","2"
"Australia","2021","Church of Christ","2101","2"
"Australia","2021","Congregational","94","2"
"Australia","2021","Druze","24","2"
